"","County","CornHec","SoyBeansHec","CornPix","SoyBeansPix"
"1",1,165.76,8.09,374,55
"2",2,96.32,106.03,209,218
"3",3,76.08,103.6,253,250
"4",4,185.35,6.47,432,96
"5",4,116.43,63.82,367,178
"6",5,162.08,43.5,361,137
"7",5,152.04,71.43,288,206
"8",5,161.75,42.49,369,165
"9",6,92.88,105.26,206,218
"10",6,149.94,76.49,316,221
"11",6,64.75,174.34,145,338
"12",7,127.07,95.67,355,128
"13",7,133.55,76.57,295,147
"14",7,77.7,93.48,223,204
"15",8,206.39,37.84,459,77
"16",8,108.33,131.12,290,217
"17",8,118.17,124.44,307,258
"18",9,99.96,144.15,252,303
"19",9,140.43,103.6,293,221
"20",9,98.95,88.59,206,222
"21",9,131.04,115.58,302,274
"22",10,114.12,99.15,313,190
"23",10,100.6,124.56,246,270
"24",10,127.88,110.88,353,172
"25",10,116.9,109.14,271,228
"26",10,87.41,143.66,237,297
"27",11,93.48,91.05,221,167
"28",11,121,132.33,369,191
"29",11,109.91,143.14,343,249
"30",11,122.66,104.13,342,182
"31",11,104.21,118.57,294,179
"32",12,88.59,102.59,220,262
"33",12,88.59,29.46,340,87
"34",12,165.35,69.28,355,160
"35",12,104,99.15,261,221
"36",12,88.63,143.66,187,345
"37",12,153.7,94.49,350,190
